tourney_name,surface,tourney_level,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
United Cup,Hard,A,144817,L,196.0,SUI,26.5,207608,R,173.0,RUS,21.9,3,RR,115.9994992488733,6.0,1.0,99.0,67.0,48.0,16.0,14.0,6.0,7.0,4.0,2.0,88.0,61.0,41.0,13.0,14.0,4.0,7.0
United Cup,Hard,A,126203,R,193.0,USA,25.1,100644,R,198.0,GER,25.7,3,RR,64.0,8.0,4.0,45.0,27.0,26.0,11.0,9.0,1.0,1.0,3.0,5.0,60.0,48.0,31.0,3.0,8.0,3.0,6.0
United Cup,Hard,A,126207,R,188.0,USA,24.9,106214,R,196.0,GER,29.4,3,RR,75.0,9.0,3.0,56.0,30.0,29.0,16.0,11.0,0.0,0.0,10.0,0.0,58.0,30.0,23.0,18.0,11.0,0.0,2.0
United Cup,Hard,A,126203,R,193.0,USA,25.1,208103,R,185.0,CZE,21.1,3,RR,115.9994992488733,5.0,3.0,68.0,41.0,32.0,14.0,10.0,2.0,2.0,4.0,1.0,48.0,31.0,24.0,8.0,9.0,1.0,3.0
United Cup,Hard,A,126207,R,188.0,USA,24.9,207830,R,183.0,CZE,22.2,3,RR,80.0,4.0,1.0,55.0,36.0,24.0,10.0,8.0,2.0,4.0,6.0,5.0,59.0,37.0,27.0,6.0,7.0,3.0,5.0
United Cup,Hard,A,208103,R,185.0,CZE,21.1,100644,R,198.0,GER,25.7,3,RR,92.0,5.0,3.0,67.0,47.0,36.0,8.0,9.0,6.0,7.0,1.0,8.0,56.0,34.0,22.0,8.0,9.0,4.0,8.0
United Cup,Hard,A,106214,R,196.0,GER,29.4,207494,R,186.5462915601023,CZE,20.2,3,RR,109.0,7.0,2.0,67.0,35.0,23.0,15.0,10.0,6.0,10.0,0.0,2.0,73.0,46.0,24.0,10.0,10.0,1.0,7.0
United Cup,Hard,A,200282,R,183.0,AUS,23.8,104745,L,185.0,ESP,36.5,3,RR,162.0,3.0,6.0,100.0,62.0,39.0,19.0,14.0,8.0,12.0,2.0,4.0,92.0,56.0,34.0,16.0,14.0,7.0,13.0
United Cup,Hard,A,106186,R,178.0,AUS,29.6,105077,L,188.0,ESP,34.9,3,RR,129.0,10.0,2.0,78.0,50.0,41.0,14.0,14.0,1.0,3.0,4.0,2.0,82.0,46.0,33.0,19.0,14.0,1.0,5.0
United Cup,Hard,A,111815,L,188.0,GBR,27.3,104745,L,185.0,ESP,36.5,3,RR,164.0,6.0,2.0,88.0,57.0,42.0,18.0,14.0,5.0,6.0,10.0,4.0,95.0,55.0,40.0,21.0,14.0,9.0,11.0
